"No.","Time","Source","Destination","Protocol","Length","Info"
"1317","16.364861","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1318","16.364861","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1319","16.367105","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1320","16.367105","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1321","16.367105","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1322","16.367105","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1323","16.367105","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1324","16.367416","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1325","16.367416","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1326","16.367416","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1327","16.367416","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1328","16.367416","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1329","16.367441","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1330","16.367607","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1331","16.367607","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1332","16.367607","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1333","16.367875","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1334","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1335","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1336","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1337","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1338","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1339","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1340","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1341","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1342","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1343","16.368962","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1344","16.369950","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1345","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1346","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1347","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1348","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1349","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1350","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1351","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1352","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1353","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1354","16.372208","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1355","16.372477","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1356","16.372788","192.168.43.76","114.125.240.16","UDP","75","60893  >  443 Len=33"
"1357","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1358","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1359","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1360","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
"1361","16.372919","114.125.240.16","192.168.43.76","UDP","1292","443  >  60893 Len=1250"
